epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.583,5.27349,3.83748,3.93095,0.00024,0.00622,0.00012,5e-05,5.79307,4.082,3.94958,0.000653846,0.000653846,0.000653846
2,263.763,3.57455,2.58332,2.80619,0.14982,0.07646,0.04149,0.01126,3.90724,2.95543,3.00623,0.00129437,0.00129437,0.00129437
3,393.558,2.95026,2.19956,2.25184,0.23418,0.28927,0.17612,0.04785,2.71093,2.39229,2.10272,0.00190849,0.00190849,0.00190849
4,513.637,2.73266,2.02103,1.98574,0.37057,0.39191,0.31783,0.09916,2.49071,1.97721,1.887,0.0018812,0.0018812,0.0018812
5,640.425,2.61146,1.96625,1.89791,0.31618,0.44323,0.28173,0.08487,2.54294,1.9756,1.8781,0.0018416,0.0018416,0.0018416
6,768.944,2.51947,1.8771,1.79335,0.39144,0.44635,0.35986,0.13353,2.25739,1.86824,1.7188,0.001802,0.001802,0.001802
7,907.868,2.42896,1.80436,1.72025,0.465,0.47589,0.43695,0.17304,2.13526,1.69188,1.62038,0.0017624,0.0017624,0.0017624
8,1037.55,2.38064,1.7545,1.6672,0.51957,0.44012,0.42956,0.16501,2.09976,1.75207,1.59843,0.0017228,0.0017228,0.0017228
9,1170.02,2.35219,1.7425,1.65234,0.39478,0.43079,0.36185,0.1239,2.27779,1.71351,1.68633,0.0016832,0.0016832,0.0016832
10,1300.71,2.30866,1.74484,1.62877,0.42647,0.41835,0.37456,0.1354,2.21394,1.74167,1.62825,0.0016436,0.0016436,0.0016436
11,1432.24,2.28285,1.70136,1.5735,0.40886,0.44639,0.38045,0.14941,2.07949,1.73531,1.57244,0.001604,0.001604,0.001604
12,1568.26,2.25151,1.70143,1.5683,0.43641,0.44323,0.41049,0.1547,2.16247,1.71022,1.58305,0.0015644,0.0015644,0.0015644
13,1697.71,2.2187,1.69365,1.55746,0.42666,0.493,0.3834,0.14073,2.08269,1.75557,1.53267,0.0015248,0.0015248,0.0015248
